cond,cruise_max_dz,cruise_rmse_z,ctrl,decel_max_dz,decel_rmse_z,degrade_pct,delay,diverged,dropout,dropout_meas,elapsed,est_pos_rmse,est_vel_rmse,gps_rate,noise_pos,omega_fail,omega_max,rmse_vx,rmse_z
참값,0.5211536792519595,0.26199202968623236,lqr,5.426110021378811,2.099293126014725,0.0,0.0,False,0.0,0.0,,,,0.0,0.0,False,1.8642680674385153,16.779105690348057,4.4368366600830855
RTK 기준,0.4873161773866528,0.25892758624100587,lqr,5.416193007617636,2.0945195881455274,-0.17535445751431747,0.0,False,0.0,0.0,39.412309885025024,0.06035801159841383,0.0279957739852597,10.0,0.02,False,1.847698360156946,16.7784084745211,4.4290564692270005
잡음 0.2m,0.46507753519001227,0.20727592355810015,lqr,5.383128510138349,2.080265836362127,0.060386453607243186,0.0,False,0.0,0.0,43.38006114959717,0.08111208500114132,0.04251819358157385,10.0,0.2,False,1.8588378152555558,16.77543390558204,4.439515908394456
잡음 1.5m,0.6958246092905327,0.22659922857000997,lqr,5.023767589040837,1.9203512920948107,2.3329253041910203,0.0,False,0.0,0.0,37.61012005805969,0.4464106447517904,0.1987110758331203,10.0,1.5,False,1.9831953188512725,16.795359879570725,4.5403447452317875
잡음 3.0m,1.239896225694494,0.5996225795107241,lqr,4.672469917520118,1.7741963112671875,3.950149962338246,0.0,False,0.0,0.0,33.88088941574097,0.8765390670009632,0.3519644606081201,10.0,3.0,False,2.0625230964382935,16.84041913693897,4.612098361740367
20Hz,0.5323616722955649,0.2626029861610246,lqr,5.430523706069927,2.0999213849654077,0.03788696500123567,0.0,False,0.0,0.0,34.817670822143555,0.05170875323957052,0.022884702046593538,20.0,0.02,False,1.8735616013807688,16.77792210926679,4.438517642835653
5Hz,0.5065132366987939,0.25238595181798973,lqr,5.466405156214137,2.1193278254066725,0.14168892224704954,0.0,False,0.0,0.0,38.26990032196045,0.0765573496760291,0.035115222380339865,5.0,0.02,False,1.874968418002713,16.78038721748529,4.443123166128619
1Hz,0.5034879473271943,0.25934302517739155,lqr,5.432255389744768,2.102404015096155,-0.14750780654433115,0.0,False,0.0,0.0,39.89062166213989,0.15366208195516126,0.08695621788799339,1.0,0.02,False,1.8720962261093193,16.779787279185772,4.430291979645842
지연 50ms,0.49210308090378874,0.26301045928324646,lqr,5.5162203907011715,2.1333946876630123,1.7792427999388174,0.05,False,0.0,0.0,40.35003638267517,1.9895640519061284,0.2353328694695243,10.0,0.02,False,2.108247772145399,16.779679840232287,4.51577875690266
지연 100ms,0.49488573597423624,0.2599031917606792,lqr,5.611486513228002,2.1703067765350625,5.895743454273632,0.1,False,0.0,0.0,43.96650671958923,3.948858809021131,0.5146728042507113,10.0,0.02,False,2.3662955369966863,16.781047950644314,4.698421167046747
지연 200ms,inf,inf,lqr,inf,inf,22925.80435353698,0.2,False,0.0,0.0,44.61802291870117,13.6987129122817,4.323597498109532,10.0,0.02,True,513.5801679760319,57.14315530512336,1021.6173288367357
결측 5%,0.5441095955815811,0.2565804123975323,lqr,5.423179665177763,2.098592380956661,0.10624160228123437,0.0,False,0.05,0.046153846153846156,43.92784667015076,0.06060061156122722,0.02854565270099589,10.0,0.02,False,1.8738510145459346,16.776098784064043,4.441550426441359
결측 10%,0.536678584417011,0.26127703484367026,lqr,5.417216389061643,2.0952518190109637,0.02390472722379808,0.0,False,0.1,0.1,44.56249761581421,0.06087424963568493,0.030925458542789618,10.0,0.02,False,1.865707977124273,16.780288523934967,4.437897273784044
결측 20%,0.5225347416368749,0.2590502565709902,lqr,5.4183211224944685,2.0937336690196346,-0.08629971114398792,0.0,False,0.2,0.2,45.661519289016724,0.0610221852941588,0.03311191002135762,10.0,0.02,False,1.8564735312736103,16.777107965205065,4.433007682861503
1.5m+5Hz+100ms,0.4812371351438145,0.2339940412867823,lqr,5.665910239424079,2.187359731034719,7.529021380137642,0.1,False,0.0,0.0,37.05853486061096,4.0301161153237475,0.5660543342916486,5.0,1.5,False,2.2292152443791773,16.721302350873792,4.770887040822526
1.5m+5Hz+20%,0.6425858083871105,0.31527928787298,lqr,5.133609480118167,1.9502872983710822,-1.5982018231387964,0.0,False,0.2,0.19384615384615383,35.976996183395386,0.7557349927638368,0.3183118098123749,5.0,1.5,False,1.8846606801580956,16.83769195065068,4.365927055691947
최악 복합,1.962347624073395,1.0616912756958437,lqr,3.9861654517224068,1.5810007230467018,38.44347591373152,0.2,False,0.2,0.26153846153846155,36.3897066116333,8.23309784880857,1.7162923700384993,1.0,3.0,False,3.093695776516684,17.5756317267628,6.142510892833736
참값,0.14566760625584863,0.03438002715881372,hybrid,2.5206226466486896,0.5973402177442176,0.0,0.0,False,0.0,0.0,,,,0.0,0.0,True,62.07607532951693,1.344853688688927,1.6326227925730294
RTK 기준,0.4398040867609865,0.11620796291685492,hybrid,3.931485876334037,1.3139479643852785,5.79454235808507,0.0,False,0.0,0.0,187.13980793952942,0.06445520968822081,0.03602810272272053,10.0,0.02,True,71.68333885924454,1.5594927845472013,1.727225811836425
잡음 0.2m,8.920774510291267,2.3159929776517476,hybrid,2.954205308490806,0.64049367413531,21.766267406069996,0.0,False,0.0,0.0,180.94693756103516,0.08368075276460063,0.0469818795986561,10.0,0.2,True,52.12607876773264,1.6809849300717237,1.9879838353369226
잡음 1.5m,2.3707474646322595,0.7415865486654903,hybrid,0.668139337712816,0.23057103657674624,7.115348103565731,0.0,False,0.0,0.0,174.55990862846375,0.4547056600479709,0.21643842517510234,10.0,1.5,True,58.23941825190385,1.453166643498483,1.7487895874827564
잡음 3.0m,18.687223696901448,7.570057515778573,hybrid,0.935753024575007,0.41820378074288006,149.96335713620053,0.0,False,0.0,0.0,197.03419828414917,0.8737639336743116,0.37830842469766557,10.0,3.0,True,69.85717404632084,3.706745211517179,4.080958741686332
20Hz,0.7407558148208508,0.15720781322848443,hybrid,3.6300658300090447,1.4043822383863318,6.795405605624694,0.0,False,0.0,0.0,179.79733681678772,0.056118953895425816,0.027717845039725603,20.0,0.02,True,75.05107690803234,1.6741393327091305,1.7435661333382435
5Hz,0.63118642876114,0.13700900389927148,hybrid,4.812629288362487,1.7274888387448792,10.79345920404494,0.0,False,0.0,0.0,187.89552521705627,0.08100926651718963,0.045876155044457696,5.0,0.02,True,82.15873125325024,1.880351846497799,1.8088392676453386
1Hz,1.347384944839348,0.2848733947612244,hybrid,0.5176619436642724,0.339716806480606,-1.0067365843455132,0.0,False,0.0,0.0,166.18555212020874,0.1552366519844233,0.09213429938325633,1.0,0.02,True,62.958212091525475,1.2132876802842472,1.6161865816358334
